mysql> call mysql.UserAudit;
+---------------------+---------------+--------------+
| time                | user          | host         |
+---------------------+---------------+--------------+
| 2015-01-16 15:39:48 | matey_m       | %            |
| 2015-01-16 15:39:48 | gtowebii      | 10.1.104.120 |
| 2015-01-16 15:39:48 | nagios        | 10.1.104.14  |
| 2015-01-16 15:39:48 | nagios        | 10.1.104.152 |
| 2015-01-16 15:39:48 | gtoread       | 10.1.104.164 |
| 2015-01-16 15:39:48 | gtowrite      | 10.1.104.164 |
| 2015-01-16 15:39:48 | nagiosxi      | 10.1.104.17  |
| 2015-01-16 15:39:48 | nagioxi       | 10.1.104.17  |
| 2015-01-16 15:39:48 | phpmyadmin    | 10.1.104.175 |
| 2015-01-16 15:39:48 | gbsprov       | 10.1.104.176 |
| 2015-01-16 15:39:48 | optools       | 10.1.104.176 |
| 2015-01-16 15:39:48 | phpmyadmin    | 10.1.104.176 |
| 2015-01-16 15:39:48 | beier_c       | 10.1.104.188 |
| 2015-01-16 15:39:48 | martin_t      | 10.1.104.188 |
| 2015-01-16 15:39:48 | phpMA         | 10.1.104.188 |
| 2015-01-16 15:39:48 | stremciuc_s   | 10.1.104.188 |
| 2015-01-16 15:39:48 | techops       | 10.1.104.188 |
| 2015-01-16 15:39:48 | gbsprov       | 10.1.104.190 |
| 2015-01-16 15:39:48 | gtoread       | 10.1.104.212 |
| 2015-01-16 15:39:48 | istmysqltest  | 10.1.104.213 |
| 2015-01-16 15:39:48 | optoolsfed    | 10.1.104.213 |
| 2015-01-16 15:39:48 | optooolsfed   | 10.1.104.213 |
| 2015-01-16 15:39:48 | datamartro    | 10.1.104.231 |
| 2015-01-16 15:39:48 | datamartro    | 10.1.104.232 |
| 2015-01-16 15:39:48 | optoolsfed    | 10.1.104.246 |
| 2015-01-16 15:39:48 | aprd          | 10.1.105.162 |
| 2015-01-16 15:39:48 | aprd          | 10.1.105.163 |
| 2015-01-16 15:39:48 | beier_c       | 10.1.105.174 |
| 2015-01-16 15:39:48 | istmysqlgw01  | 10.1.105.174 |
| 2015-01-16 15:39:48 | orch_topology | 10.1.105.174 |
| 2015-01-16 15:39:48 | root          | 10.1.105.174 |
| 2015-01-16 15:39:48 | mmclaugh      | 10.1.108.98  |
| 2015-01-16 15:39:48 | oracle        | 10.1.118.132 |
| 2015-01-16 15:39:48 | oracle        | 10.1.118.133 |
| 2015-01-16 15:39:48 | oracle        | 10.1.118.140 |
| 2015-01-16 15:39:48 | oracle        | 10.1.118.211 |
| 2015-01-16 15:39:48 | cdrcreate     | 10.1.26.150  |
| 2015-01-16 15:39:48 | convprod      | 10.1.26.150  |
| 2015-01-16 15:39:48 | dbcleanup     | 10.1.26.150  |
| 2015-01-16 15:39:48 | nagios        | 10.1.26.150  |
| 2015-01-16 15:39:48 | cdrcreate     | 10.1.26.152  |
| 2015-01-16 15:39:48 | convprod      | 10.1.26.152  |
| 2015-01-16 15:39:48 | dbcleanup     | 10.1.26.152  |
| 2015-01-16 15:39:48 | nagios        | 10.1.26.152  |
| 2015-01-16 15:39:48 | dssctrl       | 10.11.1.61   |
| 2015-01-16 15:39:48 | dssctrl       | 10.11.1.62   |
| 2015-01-16 15:39:48 | dssctrl       | 10.20.28.11  |
| 2015-01-16 15:39:48 | dssgui        | 10.20.28.65  |
| 2015-01-16 15:39:48 | root          | 127.0.0.1    |
| 2015-01-16 15:39:48 | root          | ::1          |
| 2015-01-16 15:39:48 | dbpurge       | localhost    |
| 2015-01-16 15:39:48 | memagent      | localhost    |
| 2015-01-16 15:39:48 | nagios        | localhost    |
| 2015-01-16 15:39:48 | root          | localhost    |
+---------------------+---------------+--------------+
60 rows in set (0.01 sec)

Query OK, 0 rows affected (0.02 sec)
